#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Chromosomes	Organelles	Plasmids	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Entamoeba invadens IP1	370355	PRJNA12926	12926	Protists	Other Protists	40.8783	30.2	GCA_000330505.1	-	-	-	AANW03	1144	12007	11997	2006/02/11	2014/08/06	Scaffold	TIGR	SAMN02953644
Physcomitrella patens	3218	PRJNA13064	13064	Plants	Land Plants	477.948	33.6002	GCA_000002425.1	-	2	-	ABEU01	1990	36004	35936	2007/11/27	2014/08/01	Scaffold	Moss Genome Consortium	SAMN00120126
Prunus persica	3760	PRJNA31227	31227	Plants	Land Plants	227.252	37.5	GCA_000346465.1	-	-	-	AKXU01	202	28087	28927	2013/03/14	2013/05/23	Scaffold	JGI	SAMN02981429
Prunus persica	3760	PRJNA54011	54011	Plants	Land Plants	214.225	37.5	GCA_000218175.1	-	-	-	AEJG01	30834	-	-	2011/06/01	2013/11/01	Scaffold	UC Davis Genome Center Bioinformatics Core	SAMN00115266
Prunus persica	3760	PRJNA54015	54015	Plants	Land Plants	211.308	37.2	GCA_000218195.1	-	-	-	AEKW01	35219	-	-	2011/06/01	2013/11/01	Scaffold	UC Davis Genome Center Bioinformatics Core	SAMN00115268
Prunus persica	3760	PRJNA54013	54013	Plants	Land Plants	207.185	37.5	GCA_000218215.1	-	-	-	AEKV01	43890	-	-	2011/06/01	2013/11/01	Scaffold	UC Davis Genome Center Bioinformatics Core	SAMN00115267
Culex quinquefasciatus	7176	PRJNA18751	18751	Animals	Insects	579.042	37.4	GCA_000209185.1	-	-	-	AAWU01	3171	22629	18883	2007/04/19	2014/08/06	Scaffold	Broad Institute	SAMN02953674
Papio anubis	9555	PRJNA54005	54005	Animals	Mammals	2948.38	41.1229	GCA_000264685.1	21	-	-	AHZZ01	72500	30956	29298	2012/05/30	2012/06/05	Chromosome	Baylor College of Medicine	SAMN02981400
Solanum tuberosum	4113	PRJNA63145	63145	Plants	Land Plants	705.934	35.6005	GCA_000226075.1	-	1	-	AEWC01	14854	29655	30297	2011/05/24	2012/04/10	Scaffold	Potato Genome Sequencing Consortium	SAMN02981305
Vitis vinifera	29760	PRJNA34679	34679	Plants	Land Plants	486.261	35.0279	GCA_000003745.2	19	2	-	CAAP03	2067	24571	23418	2007/02/13	2009/11/25	Chromosome	Edmund Mach Foundation, IASMA Research Center,	-
Galdieria sulphuraria	130081	PRJNA13023	13023	Other	Other	13.712	37.7	GCA_000341285.1	-	-	-	ADNM02	433	6723	7174	2013/01/08	2014/08/04	Scaffold	Galdieria sulphuraria Genome Project	SAMN00011278
Ostreococcus lucimarinus CCE9901	436017	PRJNA13044	13044	Plants	Green Algae	13.2049	60.4431	GCA_000092065.1	21	-	-	-	21	7640	7603	2007/04/10	2011/01/14	Gapless Chromosome	US DOE Joint Genome Institute	-
Selaginella moellendorffii	88036	PRJNA13078	13078	Plants	Land Plants	212.502	45.2	GCA_000143415.2	-	-	-	ADFJ01	758	34782	34747	2010/06/24	2011/07/05	Scaffold	Selaginella Consortium	SAMN02981255
Volvox carteri f. nagariensis	3068	PRJNA13109	13109	Plants	Green Algae	137.684	56	GCA_000143455.1	-	-	-	ACJH01	1251	14437	14436	2010/07/06	2014/08/06	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02953753
Phaeodactylum tricornutum CCAP 1055/1	556484	PRJNA13152	13152	Other	Other	27.4507	48.8432	GCA_000150955.2	33	-	-	ABQD01	88	10398	10408	2008/10/10	2009/05/06	Chromosome	Diatom Consortium	SAMN02953727
Candida dubliniensis CD36	573826	PRJEA34697	34697	Fungi	Ascomycetes	14.6184	33.2489	GCA_000026945.1	8	-	-	-	8	6095	5860	2009/02/16	2010/01/31	Gapless Chromosome	Wellcome Trust Sanger Institute	-
Cryptosporidium hominis	237895	PRJNA13200	13200	Protists	Apicomplexans	8.74357	30.9	GCA_000006425.1	-	-	-	AAEL01	1422	3955	3885	2004/10/27	2014/08/05	Contig	Virginia Commonwealth University	-
Aspergillus niger ATCC 1015	380704	PRJNA15785	15785	Fungi	Ascomycetes	34.8533	50.3	GCA_000230395.2	-	-	-	ACJE01	24	10947	10950	2011/10/12	2014/08/06	Contig	DOE Joint Genome Institute	SAMN02953752
Aureococcus anophagefferens	44056	PRJNA13500	13500	Protists	Other Protists	56.6606	69.5	GCA_000186865.1	-	-	-	ACJI01	1185	11522	11520	2011/01/26	2014/08/06	Scaffold	DOE Joint Genome Institute	SAMN02953754
Callithrix jacchus	9483	PRJNA20401	20401	Animals	Mammals	2914.96	41.3144	GCA_000004665.1	24	-	-	ACFV01	16399	30292	22561	2010/01/21	2010/01/22	Chromosome	Washington University (WashU)	SAMN02981242
Aplysia californica	6500	PRJNA13635	13635	Animals	Other Animals	927.31	41.9999	GCA_000002075.2	-	1	-	AASC03	4332	20496	25054	2006/08/17	2014/08/06	Scaffold	Broad Institute	SAMN02953658
Schizosaccharomyces octosporus yFS286	483514	PRJNA13639	13639	Fungi	Ascomycetes	11.6345	37.5	GCA_000150505.2	-	-	-	ABHY03	5	5347	4986	2007/12/12	2014/08/06	Scaffold	Broad Institute	SAMN02953709
Schizosaccharomyces japonicus yFS275	402676	PRJNA13640	13640	Fungi	Ascomycetes	11.3004	43.7	GCA_000149845.1	-	-	-	AATM01	20	5227	4814	2006/10/11	2014/08/06	Scaffold	Broad Institute	-
Batrachochytrium dendrobatidis JEL423	403673	PRJNA13653	13653	Fungi	Other Fungi	23.8977	39.3	GCA_000149865.1	-	-	-	AATT01	70	-	-	2006/10/20	2014/08/06	Scaffold	Broad Institute	SAMN02953669
Batrachochytrium dendrobatidis JAM81	684364	PRJNA41157	41157	Fungi	Other Fungi	24.3151	39.3	GCA_000203795.1	-	-	-	ADAR01	127	8700	8700	2011/04/07	2014/08/01	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02746048
Rhodnius prolixus	13249	PRJNA13648	13648	Animals	Insects	702.645	34	GCA_000181055.2	-	-	-	ACPB02	27872	-	-	2009/06/17	2014/08/06	Scaffold	Washington University Genome Sequencing Center	SAMN02953759
Acyrthosiphon pisum	7029	PRJNA13657	13657	Animals	Insects	541.692	31.1995	GCA_000142985.2	-	1	-	ABLF02	23925	18890	23103	2008/04/01	2014/08/04	Scaffold	Baylor College of Medicine	SAMN00000061
Otolemur garnettii	30611	PRJNA16955	16955	Animals	Mammals	2519.72	41.5	GCA_000181295.3	-	-	-	AAQR03	7793	27208	23349	2006/06/02	2011/03/16	Scaffold	Broad Institute	SAMN02981229
Mycosphaerella graminicola IPO323	336722	PRJNA19047	19047	Fungi	Ascomycetes	39.6863	52.1368	GCA_000219625.1	21	-	-	ACPE01	21	10964	10963	2011/06/22	2012/07/30	Chromosome	DOE Joint Genome Institute	SAMN02746078
Zymoseptoria tritici STIR04 A48b	985138	PRJNA63029	63029	Fungi	Ascomycetes	31.7941	53.6	GCA_000223625.2	-	-	-	AEYQ01	940	-	-	2011/08/08	2012/07/05	Contig	University of Aarhus, Bioinformatics Research Center	SAMN02981317
Zymoseptoria tritici STIR04_A26b	983958	PRJNA62705	62705	Fungi	Ascomycetes	32.6413	53.5	GCA_000223645.2	-	-	-	AFIP01	1154	-	-	2011/08/08	2012/07/05	Contig	University of Aarhus, Bioinformatics Research Center	SAMN02981321
Phaeosphaeria nodorum SN15	321614	PRJNA13754	13754	Fungi	Ascomycetes	37.214	50.3719	GCA_000146915.2	-	1	-	AAGI01	108	16122	16002	2005/04/04	2014/08/06	Scaffold	Broad Institute	SAMN02953619
Oryza glaberrima	4538	PRJNA13765	13765	Plants	Land Plants	17.4575	42.8	GCA_000147395.1	-	-	-	ADWL01	1	-	-	2010/07/08	2010/09/22	Scaffold	The Oryza Map Alignment Project (OMAP)	SAMN02981267
Spermophilus tridecemlineatus	43179	PRJNA61725	61725	Animals	Mammals	2478.39	40.5	GCA_000236235.1	-	-	-	AGTP01	12483	24905	27473	2011/11/25	2013/11/01	Scaffold	Broad Institute	SAMN00210855
Ictidomys tridecemlineatus	43179	PRJNA13937	13937	Animals	Mammals	1913.37	39.8	GCA_000181315.1	-	-	-	AAQQ01	-	-	-	2006/06/06	2007/01/17	Contig	The Genome Sequencing Platform, The Genome Assembly Team	SAMN03000702
Tupaia belangeri	37347	PRJNA13971	13971	Animals	Mammals	2137.23	41.4	GCA_000181375.1	-	-	-	AAPY01	-	-	-	2006/06/08	2007/01/17	Contig	Broad Institute	-
Nomascus leucogenys	61853	PRJNA13975	13975	Animals	Mammals	2962.06	41.3657	GCA_000146795.3	26	-	-	ADFV01	17524	28405	29962	2010/08/31	2012/12/08	Chromosome	Gibbon Genome Sequencing Consortium	SAMN02981257
Heterorhabditis bacteriophora	37862	PRJNA13977	13977	Animals	Roundworms	76.9743	33.3	GCA_000223415.1	-	-	-	ACKM01	1240	-	-	2011/08/16	2014/08/06	Scaffold	Washington University Genome Sequencing Center	SAMN02953756
Sclerotinia sclerotiorum 1980 UF-70	665079	PRJNA15530	15530	Fungi	Ascomycetes	38.5328	41.8	GCA_000146945.1	-	-	-	AAGT01	39	14637	14446	2005/09/19	2014/08/06	Scaffold	Broad Institute	SAMN02953621
Fusarium verticillioides 7600	334819	PRJNA15553	15553	Fungi	Ascomycetes	41.8851	48.7499	GCA_000149555.1	11	-	-	AAIM02	39	15805	20127	2005/10/18	2010/03/22	Chromosome	Broad Institute	SAMN02953630
Arabidopsis lyrata subsp. lyrata	81972	PRJNA41137	41137	Plants	Land Plants	206.668	36.1	GCA_000004255.1	-	-	-	ADBK01	695	32534	32549	2009/11/30	2010/06/09	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02981250
Botryotinia fuckeliana B05.10	332648	PRJNA15632	15632	Fungi	Ascomycetes	42.7438	43	GCA_000143535.1	-	-	-	AAID01	589	16584	16389	2005/10/18	2014/08/06	Scaffold	Syngenta Biotechnology, Inc.	-
Botryotinia fuckeliana T4	999810	PRJNA162725	162725	Fungi	Ascomycetes	41.6129	42.4	GCA_000292645.1	-	-	-	ALOC01	56	-	-	2012/08/21	2012/11/05	Scaffold	Wageningen University	SAMN02981443
Botryotinia fuckeliana BcDW1	1290391	PRJNA188482	188482	Fungi	Ascomycetes	42.1323	42	GCA_000349525.1	-	-	-	AORW01	454	11028	11028	2013/03/28	2013/05/31	Scaffold	UC Davis	SAMN01910430
Botrytis cinerea T4	999810	PRJNA64593	64593	Fungi	Ascomycetes	39.5114	43.5	GCA_000227075.1	-	-	-	-	118	16353	16353	-	-	Scaffold	Genoscope	-
Capsella rubella	81985	PRJNA13878	13878	Plants	Land Plants	133.064	35.6	GCA_000375325.1	-	-	-	ANNY01	773	26776	28713	2013/04/19	2013/07/08	Scaffold	DOE Joint Genome Institute	SAMN02981483
Aspergillus clavatus NRRL 1	344612	PRJNA15664	15664	Fungi	Ascomycetes	27.8594	49.2	GCA_000002715.1	-	-	-	AAKD03	143	9379	9121	2005/09/09	2014/08/06	Scaffold	J. Craig Venter Institute	SAMN02953636
Neosartorya fischeri NRRL 181	331117	PRJNA15672	15672	Fungi	Ascomycetes	31.77	49.4	GCA_000149645.2	-	-	-	AAKE03	438	10678	10395	2005/09/09	2014/08/06	Scaffold	TIGR	SAMN02953637
Hevea brasiliensis	3981	PRJNA80191	80191	Plants	Land Plants	1301.4	34.2	GCA_000340545.1	-	-	-	AJJZ01	1150326	-	-	2013/02/06	2013/03/15	Scaffold	Centre for Chemical Biology (CCB@USM)	-
Carica papaya	3649	PRJNA20267	20267	Plants	Land Plants	369.782	35.3	GCA_000150535.1	-	-	-	ABIM01	17764	-	-	2008/04/23	2014/08/06	Scaffold	The Papaya Genome Sequencing Consortium	SAMN02953710
Pediculus humanus corporis	121224	PRJNA16223	16223	Animals	Insects	110.781	27.5	GCA_000006295.1	-	-	-	AAZO01	1882	10993	10775	2007/04/18	2014/08/06	Scaffold	The human body louse genome consortium	SAMN02953682
Ixodes scapularis	6945	PRJNA16232	16232	Animals	Other Animals	1765.38	45.5	GCA_000208615.1	-	-	-	ABJB01	369492	7137	5832	2008/01/16	2009/08/26	Scaffold	Ixodes scapularis Genome Project	-
Aspergillus oryzae 3.042	1160506	PRJNA88495	88495	Fungi	Ascomycetes	36.5765	48.2824	GCA_000269785.2	-	1	-	AKHY01	226	11640	11397	2012/06/18	2012/09/12	Contig	Tianjin University of Science & Technology	SAMN02981419
Aspergillus oryzae AS 3.951	1163405	PRJNA89727	89727	Fungi	Ascomycetes	36.3336	48.3	GCA_000278405.1	-	-	-	AKXN01	969	-	-	2012/07/16	2012/07/16	Contig	South China University of Technology 	SAMN02981428
Aspergillus oryzae AS 3.863	1167532	PRJNA138081	138081	Fungi	Ascomycetes	36.4076	48.3	GCA_000278425.1	-	-	-	AKXL01	962	-	-	2012/07/16	2012/07/16	Contig	South China University of Technology 	SAMN02981427
Aspergillus oryzae RIB326	1146887	PRJDB45	170976	Fungi	Ascomycetes	35.4264	48.4	GCA_000320905.1	-	-	-	BAEZ01	200	-	-	2012/07/19	2012/07/19	Contig	National Institute of Advanced Industrial Science and Technology (AIST)	-
Nectria haematococca mpVI 77-13-4	660122	PRJNA16586	16586	Fungi	Ascomycetes	51.2865	50.8	GCA_000151355.1	-	-	-	ACJF01	209	15708	15708	2009/08/24	2014/08/01	Scaffold	DOE Joint Genome Institute	SAMN02746079
Oryzias latipes	8090	PRJNA16702	16702	Animals	Fishes	869.818	42.2741	GCA_000313675.1	24	1	-	BAAF04	7307	22286	22092	2006/04/11	2007/04/02	Chromosome	Medaka genome sequencing project	-
Oryzias latipes	8090	PRJNA19569	19569	Animals	Fishes	662.701	40.4	GCA_000151825.1	-	-	-	BAAE01	82496	-	-	2007/04/02	2007/04/02	Scaffold	Medaka genome sequencing project	-
Theobroma cacao	3641	PRJNA51633	51633	Plants	Land Plants	345.994	34.6855	GCA_000403535.1	10	-	-	ALXC01	814	29234	44183	2013/05/29	2014/05/05	Chromosome	Cacao genome consortium	SAMN02981445
Theobroma cacao	3641	PRJEA49733	49733	Plants	Land Plants	326.875	34.2	GCA_000208745.1	-	-	-	CACC01	4792	-	-	2010/11/15	2010/11/15	Scaffold	ICGS	-
Myotis lucifugus	59463	PRJNA16951	16951	Animals	Mammals	2034.58	42.7	GCA_000147115.1	-	-	-	AAPE02	11654	26808	29159	2006/06/01	2014/08/06	Scaffold	Broad Institute	SAMN02953645
Ricinus communis	3988	PRJNA16585	16585	Plants	Land Plants	350.622	34.7005	GCA_000151685.2	-	1	-	AASG02	25763	32025	31307	2006/07/18	2014/08/06	Scaffold	J. Craig Venter Institute	SAMN02953659
Ascosphaera apis ARSEF 7405	392613	PRJNA17285	17285	Fungi	Ascomycetes	21.5221	47.6	GCA_000149775.1	-	-	-	AARE01	1667	-	-	2006/07/06	2014/08/04	Scaffold	Baylor College of Medicine	SAMN00253832
Laccaria bicolor S238N-H82	486041	PRJNA19043	19043	Fungi	Basidiomycetes	64.8774	47	GCA_000143565.1	-	-	-	ABFE01	665	18264	18215	2007/11/29	2014/08/01	Scaffold	Laccaria Genome Consortium	SAMN02769624
Vigna radiata	157791	PRJNA32351	32351	Plants	Land Plants	10.1012	34.9	GCA_000180895.1	-	-	-	BABL01	-	-	-	2009/11/30	2009/11/30	Contig	Genome Institute, National Center for Genetic Engineering and Biotechnology	-
Chlorella variabilis	554065	PRJNA45853	45853	Plants	Green Algae	46.1595	67.1	GCA_000147415.1	-	-	-	ADIC01	414	9780	9780	2010/08/31	2014/08/01	Scaffold	JGI	SAMN02744065
Brachypodium distachyon	15368	PRJNA32607	32607	Plants	Land Plants	272.059	46.4226	GCA_000005505.1	10	1	-	ADDN01	84	52328	49268	2010/02/10	2010/02/23	Chromosome	The International Brachypodium Initiative	SAMN02981254
Malassezia globosa CBS 7966	425265	PRJNA18719	18719	Fungi	Basidiomycetes	8.95812	52.1	GCA_000181695.1	-	-	-	AAYY01	67	4286	4286	2007/11/02	2014/08/06	Contig	The Procter & Gamble Company	SAMN02953680
Malassezia restricta CBS 7877	425264	PRJNA18721	18721	Fungi	Basidiomycetes	4.62844	55.3	GCA_000169275.1	-	-	-	AAXK01	3812	-	-	2007/11/02	2014/08/06	Contig	The Procter & Gamble Company	SAMN02953678
Pyrenophora tritici-repentis Pt-1C-BFP	426418	PRJNA18815	18815	Fungi	Ascomycetes	37.9975	50.9	GCA_000149985.1	-	-	-	AAXI01	48	12300	12169	2007/04/10	2014/08/06	Scaffold	Broad Institute	SAMN02953676
Fusarium oxysporum Fo5176	660025	PRJNA68027	68027	Fungi	Ascomycetes	54.7676	47.8	GCA_000222805.1	-	-	-	AFQF01	-	17817	17817	2011/08/05	2012/06/29	Contig	CSIRO	SAMN02981338
Anolis carolinensis	28377	PRJNA18787	18787	Animals	Reptiles	1799.14	40.8238	GCA_000090745.2	13	1	-	AAWZ02	6646	21805	32243	2007/02/15	2011/09/29	Chromosome	Broad Institute	SAMN02981230
Monosiga brevicollis MX1	431895	PRJNA19045	19045	Protists	Other Protists	41.7099	54.8249	GCA_000002865.1	-	1	-	ABFJ01	219	9233	9203	2007/11/20	2014/08/06	Scaffold	DOE Joint Genome Institute	SAMN02953695
Leishmania braziliensis MHOM/BR/75/M2904	420245	PRJEA18663	18663	Protists	Kinetoplasts	32.0688	57.7874	GCA_000002845.2	34	-	-	CADA01	138	7837	7555	2007/04/04	2012/06/05	Chromosome	The Sanger Institute	-
Leishmania braziliensis MHOM/BR/75/M2903	1295825	PRJNA165955	165955	Protists	Kinetoplasts	35.2112	57.8	GCA_000340355.1	-	-	-	AOSE01	747	-	-	2013/02/12	2014/08/06	Scaffold	Kinetoplastid Genomes Consortium	SAMN02953835
Vanderwaltozyma polyspora DSM 70294	436907	PRJNA19237	19237	Fungi	Ascomycetes	14.6746	33	GCA_000150035.1	-	-	-	AAZN01	281	5767	5367	2007/04/25	2014/08/06	Scaffold	Trinity College Dublin, Ireland	SAMN02953681
Talaromyces stipitatus ATCC 10500	441959	PRJNA19557	19557	Fungi	Ascomycetes	35.6854	46.1	GCA_000003125.1	-	-	-	ABAS01	820	12574	13252	2007/05/16	2014/08/06	Scaffold	J. Craig Venter Institute	SAMN02953686
Talaromyces marneffei ATCC 18224	441960	PRJNA19555	19555	Fungi	Ascomycetes	28.6439	46.7	GCA_000001985.1	-	-	-	ABAR01	452	10138	10638	2007/05/16	2014/08/06	Scaffold	J. Craig Venter Institute	SAMN02953685
Talaromyces marneffei PM1	1077442	PRJNA72349	72349	Fungi	Ascomycetes	28.8875	46.8	GCA_000227055.2	-	-	-	AGCC01	2780	-	-	2011/09/30	2011/12/01	Contig	Department of Microbiology, The University of Hong Kong	SAMN02981368
Postia placenta Mad-698-R	561896	PRJNA19789	19789	Fungi	Basidiomycetes	90.8919	53.8	GCA_000006255.1	-	-	-	ABWF01	1242	9087	9083	2009/01/13	2014/08/04	Scaffold	DOE Joint Genome Institute	SAMN00113321
Trichoderma virens Gv29-8	413071	PRJNA19983	19983	Fungi	Ascomycetes	39.0227	49.2	GCA_000170995.2	-	-	-	ABDF02	93	12405	12406	2007/07/17	2014/08/01	Contig	DOE Joint Genome Institute	SAMN02744059
Trichoderma atroviride IMI 206040	452589	PRJNA19867	19867	Fungi	Ascomycetes	36.1437	49.7	GCA_000171015.2	-	-	-	ABDG02	29	11810	11816	2007/07/17	2014/08/01	Contig	DOE Joint Genome Institute	SAMN02744066
Pteropus vampyrus	132908	PRJNA20325	20325	Animals	Mammals	1996.08	40	GCA_000151845.1	-	-	-	ABRP01	96944	-	-	2008/09/12	2014/08/04	Scaffold	Baylor College of Medicine	SAMN02894360
Lutzomyia longipalpis	7200	PRJNA20279	20279	Animals	Insects	154.229	35	GCA_000265325.1	-	-	-	AJWK01	11532	-	-	2012/06/07	2013/11/01	Scaffold	Baylor College of Medicine	SAMN00008955
Nasonia giraulti	7426	PRJNA20223	20223	Animals	Insects	283.607	43	GCA_000004775.1	-	-	-	ADAO01	4912	-	-	2009/11/10	2013/11/01	Scaffold	Baylor College of Medicine	SAMN00003081
Nasonia longicornis	7427	PRJNA20225	20225	Animals	Insects	285.726	42.9	GCA_000004795.1	-	-	-	ADAP01	5214	-	-	2009/11/11	2013/11/01	Scaffold	Baylor College of Medicine	SAMN00003080
Tarsius syrichta	9478	PRJNA20339	20339	Animals	Mammals	3453.86	41	GCA_000164805.2	-	1	-	ABRT02	337189	28627	27023	2013/09/10	2014/08/04	Scaffold	Washington University (WashU)	SAMN02445010
Capsaspora owczarzaki ATCC 30864	595528	PRJNA20341	20341	Protists	Other Protists	27.9678	53.8	GCA_000151315.2	-	-	-	ACFS02	84	14793	14453	2009/08/05	2014/08/06	Scaffold	Broad Institute	SAMN02953747
Ochotona princeps	9978	PRJNA74593	74593	Animals	Mammals	2229.84	44	GCA_000292845.1	-	1	-	ALIT01	10421	21157	23389	2012/08/13	2013/11/01	Scaffold	Broad Institute	SAMN00767999
Ochotona princeps	9978	PRJNA19235	19235	Animals	Mammals	3445.78	44.2	GCA_000164825.1	-	-	-	AAYZ01	187558	-	-	2007/07/25	2007/08/03	Scaffold	Broad Institute	SAMN03000703
Dipodomys ordii	10020	PRJNA20385	20385	Animals	Mammals	2158.5	42.4	GCA_000151885.1	-	-	-	ABRO01	210053	-	-	2008/09/18	2014/08/04	Scaffold	Baylor College of Medicine	SAMN02900551
Macaca fascicularis	9541	PRJNA20409	20409	Animals	Mammals	2946.84	41.332	GCA_000364345.1	21	1	-	AQIA01	7625	35895	56354	2013/05/20	2013/06/12	Chromosome	Washington University (WashU)	SAMN00811240
Macaca fascicularis	9541	PRJEA48347	48347	Animals	Mammals	2878.47	40.9828	GCA_000222185.1	21	-	-	CAEC01	21	-	-	2011/07/21	2011/07/21	Chromosome	F. Hoffmann-La Roche Ltd	-
Macaca fascicularis	9541	PRJNA51411	51411	Animals	Mammals	3126.56	41.8	GCA_000230815.1	21	-	-	AEHL01	45468	1936	1537	2011/10/17	2011/11/04	Chromosome	Beijing Genomics Institute	SAMN00116341
Microcebus murinus	30608	PRJNA19967	19967	Animals	Mammals	2902.27	41.5	GCA_000165445.1	-	-	-	ABDC01	185042	-	-	2007/07/20	2007/07/27	Scaffold	The Genome Sequencing Platform, The Genome Assembly Team	SAMN03000704
Priapulus caudatus	37621	PRJNA20497	20497	Animals	Other Animals	420.178	44.5	GCA_000485595.1	-	-	-	AXZU01	92007	-	-	2013/10/25	2014/08/06	Scaffold	Washington University (WashU)	SAMN02953874
Strigamia maritima	126957	PRJNA20501	20501	Animals	Other Animals	176.211	35.7	GCA_000239455.1	-	-	-	AFFK01	14739	-	-	2011/12/22	2013/11/01	Scaffold	Baylor College of Medicine	SAMN00009008
Bubalus bubalis	89462	PRJNA207334	207334	Animals	Mammals	2836.17	42.2	GCA_000471725.1	-	1	-	AWWX01	366983	29425	41499	2013/09/27	2013/09/30	Scaffold	University of Maryland	SAMN02191888
Bubalus bubalis	89462	PRJNA40113	40113	Animals	Mammals	654.914	42.3	GCA_000180995.2	-	-	-	ACZF02	-	-	-	2012/03/30	2012/03/30	Contig	Anand Agricultural University, Anand, Gujarat, India	-
Arthroderma otae CBS 113480	554155	PRJNA30939	30939	Fungi	Ascomycetes	23.2631	47.5	GCA_000151145.1	-	-	-	ABVF01	17	8847	8765	2008/10/15	2014/08/06	Scaffold	Broad Institute	SAMN02953735
Trichophyton equinum CBS 127.97	559882	PRJNA20577	20577	Fungi	Ascomycetes	24.1582	47.4	GCA_000151175.1	-	-	-	ABWI01	125	8785	8676	2008/10/15	2014/08/06	Scaffold	Broad Institute	SAMN02953737
Trichophyton tonsurans CBS 112818	647933	PRJNA38223	38223	Fungi	Ascomycetes	22.9886	48.1	GCA_000151455.1	-	-	-	ACPI01	111	8625	8521	2009/08/07	2014/08/06	Scaffold	Broad Institute	SAMN02953761
Trichophyton rubrum CBS 118892	559305	PRJNA38221	38221	Fungi	Ascomycetes	22.53	48.3	GCA_000151425.1	-	-	-	ACPH01	36	8804	8706	2009/09/16	2014/08/06	Scaffold	Broad Institute	SAMN02953760
Microsporum gypseum CBS 118893	535722	PRJNA20599	20599	Fungi	Ascomycetes	23.2682	48.5	GCA_000150975.1	-	-	-	ABQE01	19	9015	8907	2008/07/25	2014/08/06	Scaffold	Broad Institute	SAMN02953728
Enterocytozoon bieneusi H348	481877	PRJNA21011	21011	Fungi	Other Fungi	3.86074	33.7	GCA_000209485.1	-	-	-	ABGB01	1733	3806	3632	2007/12/05	2014/08/04	Scaffold	Tufts Cummings School of Veterinary Medicine	SAMN00017218
Ascogregarina taiwanensis	158379	PRJNA27765	27765	Protists	Apicomplexans	6.14941	49.7	GCA_000172235.1	-	-	-	ABJQ01	5379	-	-	2010/01/28	2014/08/06	Contig	University of Minnesota	SAMN02953717
Hemiselmis andersenii	464988	PRJNA27761	27761	Protists	Other Protists	0.632425	25.5344	-	3	1	-	-	-	599	515	2007/11/09	2008/07/15	Complete	Dalhousie University, Canada	-
Bigelowiella natans CCMP2755	753081	PRJNA47111	47111	Other	Other	91.4059	44.9	GCA_000320545.1	-	-	-	ADNK01	3736	-	-	2012/11/02	2014/08/04	Contig	DOE Joint Genome Institute	SAMN00765207
Bigelowiella natans	227086	PRJNA27935	27935	Other	Other	0.442036	28.6921	-	3	1	-	-	-	426	344	2005/09/21	2011/07/22	Complete	University of Melbourne, Australia	-
Verticillium dahliae JR2	1202531	PRJNA175765	175765	Fungi	Ascomycetes	37.124	55.2332	GCA_000400815.1	8	-	-	APFD01	395	-	-	2013/05/22	2013/05/24	Chromosome	Wageningen University	SAMN02981513
Blumeria graminis f. sp. hordei DH14	546991	PRJNA28821	28821	Fungi	Ascomycetes	118.726	45.4	GCA_000151065.3	-	-	-	CAUH01	6843	7073	6470	2013/04/18	2013/07/24	Scaffold	Blumeria Genome Sequencing Consortium	-
Blumeria graminis f. sp. tritici JIW2	1306134	PRJNA193393	193393	Fungi	Ascomycetes	65.2373	42.9	GCA_000417025.1	-	-	-	ASJL01	84806	-	-	2013/07/01	2014/08/11	Scaffold	University of Zurich	SAMN02981533
Blumeria graminis f. sp. tritici 94202	1306135	PRJNA193396	193396	Fungi	Ascomycetes	71.2844	43.4	GCA_000417865.1	-	-	-	ASJK01	91192	-	-	2013/07/01	2014/08/11	Scaffold	University of Zurich	SAMN02981532
Blumeria graminis f. sp. tritici 96224	1268274	PRJNA183607	183607	Fungi	Ascomycetes	158.945	43.5	GCA_000418435.1	-	-	-	ANZE01	1867	6540	6525	2013/07/08	2014/08/11	Scaffold	University of Zurich	SAMN02981491
Blumeria graminis f. sp. tritici Bgt#70	1307830	PRJNA193611	193611	Fungi	Ascomycetes	76.5216	43.8	GCA_000441875.1	-	-	-	ASJN01	90458	-	-	2013/07/02	2014/08/11	Scaffold	University of Zurich	SAMN02981534
Blumeria graminis f. sp. hordei K1	1283759	PRJNA186718	186718	Fungi	Ascomycetes	53.786	43.8	GCA_000401615.1	-	-	-	AOIY01	-	-	-	2013/05/24	2014/08/11	Contig	Max Planck Institute for Plant Breeding Research	SAMN02981504
Blumeria graminis f. sp. hordei A6	1283758	PRJNA186717	186717	Fungi	Ascomycetes	47.465	43.8	GCA_000401675.1	-	-	-	AOLT01	-	-	-	2013/05/24	2014/08/04	Contig	Max Planck Institute for Plant Breeding Research	SAMN01888387
Cryptosporidium muris RN66	441375	PRJNA19553	19553	Protists	Apicomplexans	9.24525	28.5	GCA_000006515.1	-	-	-	AAZY02	84	3981	3934	2007/05/09	2014/08/06	Scaffold	TIGR	SAMN02953683
