#Organism/Name	Kingdom	Group	SubGroup	Plasmid Name	RefSeq	INSDC	Size (Kb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
Chlamydia psittaci MN	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pcpMN	NC_018636.1	CP003815	7.491	32.9329	7	-	-	-	9	2
Chlamydia psittaci NJ1	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pcpNJ1	NC_018637.1	CP003816	7.552	32.7993	8	-	-	-	8	-
Chlamydia psittaci RD1	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pRD1	NC_014797.1	FQ482150	7.553	32.8876	8	-	-	-	8	-
Chlamydia psittaci VS225	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pcpVS225	NC_018638.1	CP003817	7.553	32.9141	8	-	-	-	8	-
Chlamydia psittaci WC	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pcpWC	NC_018639.1	CP003818	7.553	32.9273	8	-	-	-	8	-
Chlamydia psittaci WS/RT/E30	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pcpWSRTE30	NC_018640.1	CP003819	7.553	32.9406	8	-	-	-	8	-
Chlamydia suis MD56	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pMD56	-	CM002267.1	5.976	36.8641	6	-	-	-	6	-
Chlamydia trachomatis	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pLGV440	NC_010029.2	X06707	7.5	36.2533	8	-	-	-	8	-
Chlamydia trachomatis UCH-1	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pUCH-1	NC_010286.1	AM886279	7.5	36.2267	8	-	-	-	8	-
Chlamydia trachomatis	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	Plasmid pCHL1	NC_001372.1	J03321	7.502	36.2303	8	-	-	-	8	-
Chlamydia trachomatis L2/434/Bu	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pL2	-	AM886278.1	7.499	36.2315	9	-	-	-	9	-
Chlamydia trachomatis E/CS88(f)	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pE/CS88(f)	-	CP003971.1	7.502	36.2437	8	-	-	-	8	-
Chlamydia trachomatis E/CS88(i)	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pE/CS88(i)	-	CP003970.1	7.502	36.2437	8	-	-	-	8	-
Chlamydia trachomatis A/363	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pA363	NC_019272.1	HE603209	7.502	36.257	8	-	-	-	8	-
Chlamydia trachomatis A/5291	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pA5291	NC_020946.1	HE603210	7.502	36.257	8	-	-	-	8	-
Chlamydia trachomatis A/7249	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pA7249	NC_020979.1	HE603211	7.502	36.257	8	-	-	-	8	-
Chlamydia trachomatis A/HAR-13	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pCTA	NC_007430.1	CP000052	7.51	36.2716	8	-	-	-	8	-
Chlamydia trachomatis A2497	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	Plasmid0001	NC_017438.1	CP002402	7.48	36.2299	8	-	-	-	8	-
Chlamydia trachomatis A2497 B/TZ1A828/OT	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pCTB	NC_012627.1	FM865437	7.502	36.257	8	-	-	-	8	-
Chlamydia trachomatis B/Jali20/OT A2497	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pCTR	NC_020550.1	FM865436	7.48	36.2299	8	-	-	-	8	-
Chlamydia trachomatis B/TW5/OT Jali20	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pJALI	NC_012629.1	FM865438	7.506	36.2776	8	-	-	-	8	-
Chlamydia trachomatis C/TW-3	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	unnamed	NC_023057.1	CP006946	7.501	36.2485	8	-	-	-	8	-
Chlamydia trachomatis D-EC	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pCTDEC1	NC_017435.1	CP002053	7.493	36.3272	8	-	-	-	8	-
Chlamydia trachomatis D-LC	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pCTDLC1	NC_017433.1	CP002055	7.493	36.3272	8	-	-	-	8	-
Chlamydia trachomatis D/SotonD1	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pSotonD1	NC_020986.1	HE603229	7.493	36.2472	8	-	-	-	8	-
Chlamydia trachomatis D/SotonD5	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pSotonD5	NC_020958.1	HE603230	7.492	36.3187	8	-	-	-	8	-
Chlamydia trachomatis D/SotonD6	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pSotonD6	NC_020959.1	HE603231	7.493	36.3272	8	-	-	-	8	-
Chlamydia trachomatis E/Bour	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pBour	NC_020947.1	HE603212	7.502	36.2437	8	-	-	-	8	-
Chlamydia trachomatis E/SotonE4	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pSotonE4	NC_020987.1	HE603232	7.502	36.257	8	-	-	-	8	-
Chlamydia trachomatis E/SotonE8	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pSotonE8	NC_020960.1	HE603233	7.502	36.2303	8	-	-	-	8	-
Chlamydia trachomatis F/SotonF3	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pSotonF3	NC_020988.1	HE603234	7.493	36.2472	8	-	-	-	8	-
Chlamydia trachomatis G/SotonG1	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pSotonG1	NC_020961.1	HE603235	7.471	36.3004	8	-	-	-	8	-
Chlamydia trachomatis Ia/SotonIa1	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pSotonIa1	NC_020962.1	HE603236	7.5	36.32	8	-	-	-	8	-
Chlamydia trachomatis Ia/SotonIa3	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pSotonIa3	NC_020989.1	HE603237	7.5	36.32	8	-	-	-	8	-
Chlamydia trachomatis IU824	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pIU824	NC_020551.1	HF562299	7.502	36.2437	8	-	-	-	8	-
Chlamydia trachomatis IU888	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pIU888	NC_020513.1	HF562301	7.502	36.2437	8	-	-	-	8	-
Chlamydia trachomatis K/SotonK1	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pSotonK1	NC_020963.1	HE603238	7.493	36.3272	8	-	-	-	8	-
Chlamydia trachomatis L1/115	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pL1115	NC_020951.1	HE603218	7.5	36.2133	8	-	-	-	8	-
Chlamydia trachomatis L1/1322/p2	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pL11322	NC_020982.1	HE603219	7.5	36.2533	8	-	-	-	8	-
Chlamydia trachomatis L1/224	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pL1224	NC_020952.1	HE603220	7.5	36.2267	8	-	-	-	8	-
Chlamydia trachomatis L2/434/Bu(f)	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pL2/434/Bu(f)	NC_021049.1	CP003966	7.499	36.2315	8	-	-	-	8	-
Chlamydia trachomatis L2/434/Bu(i)	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pL2/434/Bu(i)	NC_021051.1	CP003964	7.499	36.2315	8	-	-	-	8	-
Chlamydia trachomatis L2b/795	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pL2b795	NC_020983.1	HE603221	7.5	36.2267	8	-	-	-	8	-
Chlamydia trachomatis L2b/8200/07	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pL2b820007	NC_020984.1	HE603222	7.5	36.2267	8	-	-	-	8	-
Chlamydia trachomatis L2b/Ams1	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pAms1	NC_020980.1	HE603213	7.5	36.2267	8	-	-	-	8	-
Chlamydia trachomatis L2b/Ams2	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pAms2	NC_020948.1	HE603214	7.5	36.2267	8	-	-	-	8	-
Chlamydia trachomatis L2b/Ams3	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pAms3	NC_020949.1	HE603215	7.5	36.2267	8	-	-	-	8	-
Chlamydia trachomatis L2b/Ams4	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pAms4	NC_020981.1	HE603216	7.5	36.2267	8	-	-	-	8	-
Chlamydia trachomatis L2b/Ams5	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pAms5	NC_020950.1	HE603217	7.5	36.2267	8	-	-	-	8	-
Chlamydia trachomatis L2b/Canada1	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pL2bCan1	NC_020953.1	HE603223	7.5	36.2267	8	-	-	-	8	-
Chlamydia trachomatis L2b/Canada2	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pL2bCan2	NC_020954.1	HE603224	7.5	36.2267	8	-	-	-	8	-
Chlamydia trachomatis L2b/CV204	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pL2bCV204	NC_020955.1	HE603225	7.5	36.2267	8	-	-	-	8	-
Chlamydia trachomatis L2b/LST	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pL2bLST	NC_020985.1	HE603226	7.5	36.24	8	-	-	-	8	-
Chlamydia trachomatis L2b/UCH-2	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pL2bUCH2	NC_020956.1	HE603227	7.473	36.197	8	-	-	-	8	-
Chlamydia trachomatis L3/404/LN	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pL3404	NC_020957.1	HE603228	7.415	36.3183	7	-	-	-	8	1
Chlamydia trachomatis Sweden2	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pSW2	NC_012630.1	FM865439	7.169	36.2812	8	-	-	-	8	-
Chlamydophila caviae GPIC	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pCpGP1	NC_004720.1	AE015926	7.966	33.6932	7	-	-	-	7	-
Chlamydophila felis Fe/C-56	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	pCfe1	NC_007900.1	AP006862	7.552	33.9115	8	-	-	-	8	-
Chlamydophila pneumoniae LPCoLN	Bacteria	Chlamydiae/Verrucomicrobia group	Chlamydiae	unnamed	NC_017286.1	CP001714	7.53	33.0279	8	-	-	-	8	-
Chlorobium limicola DSM 249	Bacteria	Bacteroidetes/Chlorobi group	Chlorobi	pCL1	NC_002095.1	U77780	14.636	52.7671	6	-	-	-	6	-
Chroococcidiopsis thermalis PCC 7203	Bacteria	Cyanobacteria	Pleurocapsales	pCHRO.01	NC_019699.1	CP003598	370.83	45.0638	342	-	-	-	366	24
Chroococcidiopsis thermalis PCC 7203	Bacteria	Cyanobacteria	Pleurocapsales	pCHRO.02	NC_019696.1	CP003599	2.779	44.0806	2	-	-	-	2	-
Citrobacter freundii CFSTE	Bacteria	Proteobacteria	Gammaproteobacteria	pN-Cit	NC_020122.1	JQ996149	34.826	48.392	37	-	-	-	37	-
Citrobacter freundii	Bacteria	Proteobacteria	Gammaproteobacteria	pCTX-M3	NC_004464.2	AF550415	89.468	51.0305	104	-	-	-	104	-
Citrobacter freundii CFSTE	Bacteria	Proteobacteria	Gammaproteobacteria	pMobC	NC_020131.1	JQ996148	8.969	33.0918	10	-	-	-	10	-
Citrobacter freundii	Bacteria	Proteobacteria	Gammaproteobacteria	pYE315203	NC_020552.1	JX254913	54.038	49.0285	52	-	-	-	54	2
Citrobacter freundii Iona 6	Bacteria	Proteobacteria	Gammaproteobacteria	pCFI-3	NC_019984.1	JQ356870	22.634	51.6877	22	-	-	-	24	2
Citrobacter freundii Iona 2	Bacteria	Proteobacteria	Gammaproteobacteria	pCFI-1	NC_019983.1	JN215523	23.574	51.8665	22	-	-	-	24	2
Citrobacter freundii ATCC 43864	Bacteria	Proteobacteria	Gammaproteobacteria	pCfc1	NC_016151.1	JF795024	6.72	50.372	7	-	-	-	8	1
Citrobacter freundii	Bacteria	Proteobacteria	Gammaproteobacteria	pNDM-CIT	NC_019360.1	JX182975	288.92	47.7253	262	-	-	-	262	-
Citrobacter freundii CFSTE	Bacteria	Proteobacteria	Gammaproteobacteria	pT-OXA-181	NC_020123.1	JQ996150	83.698	47.1421	5	-	-	-	5	-
Citrobacter freundii Iona 4	Bacteria	Proteobacteria	Gammaproteobacteria	pCFI-2	NC_019991.1	JN215524	24.555	52.2948	23	-	-	-	25	2
Citrobacter freundii NDMCF	Bacteria	Proteobacteria	Gammaproteobacteria	pNDMCFuy	NC_022552.1	HG428757	199.075	49.7747	91	-	-	-	92	-
Citrobacter freundii CGF41	Bacteria	Proteobacteria	Gammaproteobacteria	pCGF41	-	JQ776505.1	4.268	47.1181	1	-	-	-	1	-
Citrobacter freundii CFNIH1	Bacteria	Proteobacteria	Gammaproteobacteria	pKEC-a3c	-	CP007558.1	272.297	52.6535	302	-	-	-	307	5
Citrobacter koseri ATCC BAA-895	Bacteria	Proteobacteria	Gammaproteobacteria	pCKO3	NC_009793.1	CP000823	9.294	55.1754	15	-	-	1	16	-
Citrobacter koseri ATCC BAA-895	Bacteria	Proteobacteria	Gammaproteobacteria	pCKO2	NC_009794.1	CP000824	5.601	51.2766	13	-	-	1	14	-
Citrobacter rodentium DBS100	Bacteria	Proteobacteria	Gammaproteobacteria	pCRP3	NC_003114.1	AF311902	3.172	46.7844	6	-	-	-	6	-
Citrobacter rodentium ICC168	Bacteria	Proteobacteria	Gammaproteobacteria	pCROD2	NC_013718.1	FN543504	39.265	41.7496	55	-	-	-	56	1
Citrobacter rodentium ICC168	Bacteria	Proteobacteria	Gammaproteobacteria	pCROD1	NC_013717.1	FN543503	54.449	47.1616	55	-	-	1	60	4
Citrobacter rodentium ICC168	Bacteria	Proteobacteria	Gammaproteobacteria	pCROD3	NC_013719.1	FN543505	3.91	50.9974	3	-	-	-	3	-
Clavibacter michiganensis subsp. michiganensis NCPPB 382	Bacteria	Actinobacteria	Actinobacteria	pCM1	NC_009478.1	AM711865	27.357	67.5586	28	-	-	-	28	-
Clavibacter michiganensis subsp. michiganensis NCPPB 382	Bacteria	Actinobacteria	Actinobacteria	pCM2	NC_009479.1	AM711866	69.989	66.4962	67	-	-	-	72	5
Clavibacter michiganensis subsp. sepedonicus ATCC33113	Bacteria	Actinobacteria	Actinobacteria	pCS1	NC_010399.1	AM849035	50.35	67.4618	64	-	-	-	67	3
Clavibacter michiganensis subsp. sepedonicus ATCC33113	Bacteria	Actinobacteria	Actinobacteria	pCSL1	NC_010408.1	AM849036	94.791	68.8441	112	-	-	-	113	1
Clostridium acetobutylicum ATCC 824	Bacteria	Firmicutes	Clostridia	pSOL1	NC_001988.2	AE001438	192	30.9115	176	-	-	-	178	-
Clostridium acetobutylicum DSM 1731	Bacteria	Firmicutes	Clostridia	pSMBa	NC_015686.1	CP002661	191.996	30.9121	176	-	-	-	176	-
Clostridium acetobutylicum DSM 1731	Bacteria	Firmicutes	Clostridia	pSMBb	NC_015688.1	CP002662	11.123	25.9193	9	-	-	-	9	-
Clostridium acetobutylicum EA 2018	Bacteria	Firmicutes	Clostridia	EA2018plasmid	NC_017296.1	CP002119	191.996	30.91	176	-	-	-	176	-
Clostridium botulinum (C)-203U28	Bacteria	Firmicutes	Clostridia	pC2C203U28	NC_012219.1	AP010934	106.981	26.6973	122	-	-	-	122	-
Clostridium botulinum A str. ATCC 3502	Bacteria	Firmicutes	Clostridia	pBOT3502	NC_009496.1	AM412318	16.344	26.8049	18	-	-	-	19	1
Clostridium botulinum A2B3 87	Bacteria	Firmicutes	Clostridia	p1_A2B3_87	-	AUZB01000012.1	275.568	25.651	275	-	-	-	275	-
Clostridium botulinum A2B3 87	Bacteria	Firmicutes	Clostridia	p2_A2B3_87	-	AUZB01000013.1	45.268	28.8327	57	-	-	-	57	-
Clostridium botulinum A3 str. Loch Maree	Bacteria	Firmicutes	Clostridia	pCLK	NC_010418.1	CP000963	266.785	25.636	329	-	-	2	331	-
Clostridium botulinum Af84	Bacteria	Firmicutes	Clostridia	pCLQ	NZ_AOSX01000021.1	AOSX01000021	246.124	25.5176	286	-	-	-	286	-
Clostridium botulinum B str. Eklund 17B (NRP)	Bacteria	Firmicutes	Clostridia	pCLL	NC_010680.1	CP001057	47.642	24.9528	50	-	-	-	54	4
Clostridium botulinum B1 str. Okra	Bacteria	Firmicutes	Clostridia	pCLD	NC_010379.1	CP000940	148.78	25.3562	194	-	-	-	194	-
Clostridium botulinum Ba4 str. 657	Bacteria	Firmicutes	Clostridia	pCLJ2	NC_012657.1	CP001082	9.953	24.0731	6	-	-	-	6	-
Clostridium botulinum Ba4 str. 657	Bacteria	Firmicutes	Clostridia	pCLJ	NC_012654.1	CP001081	270.022	25.6035	306	-	-	1	310	3
Clostridium botulinum BKT015925	Bacteria	Firmicutes	Clostridia	p1BKT015925	NC_015417.1	CP002411	203.287	26.4542	221	-	-	-	221	-
Clostridium botulinum BKT015925	Bacteria	Firmicutes	Clostridia	p2BKT015925	NC_015426.1	CP002412	98.732	26.1364	103	-	-	-	103	-
Clostridium botulinum BKT015925	Bacteria	Firmicutes	Clostridia	p4BKT015925	NC_015427.1	CP002414	39.648	28.0973	53	-	-	-	53	-
Clostridium botulinum BKT015925	Bacteria	Firmicutes	Clostridia	p3BKT015925	NC_015418.1	CP002413	80.365	26.8002	86	-	-	-	88	2
Clostridium botulinum BKT015925	Bacteria	Firmicutes	Clostridia	p5BKT015925	NC_015419.1	CP002415	12.403	26.2517	13	-	-	-	13	-
Clostridium botulinum C str. Stockholm	Bacteria	Firmicutes	Clostridia	p6CBCSt	NZ_AESA01000588.1	AESA01000588	55.087	27.4402	83	-	-	-	83	-
Clostridium botulinum D str. 1873	Bacteria	Firmicutes	Clostridia	pCLG1	NC_012946.1	CP001659	107.69	26.7165	124	-	-	-	128	4
Clostridium botulinum D str. 1873	Bacteria	Firmicutes	Clostridia	pCLG2	NC_012945.1	CP001660	54.152	25.3306	47	-	-	-	48	1
Clostridium botulinum F str. 230613	Bacteria	Firmicutes	Clostridia	pCBF	NC_017298.1	CP002012	17.531	26.0852	25	-	-	-	25	-
Clostridium botulinum F str. Langeland	Bacteria	Firmicutes	Clostridia	pCLI	NC_009700.1	CP000729	17.531	26.0852	24	-	-	-	24	-
Clostridium butyricum MIYAIRI 588	Bacteria	Firmicutes	Clostridia	pCBM588	NC_012760.1	AB365348	8.06	27.4318	9	-	-	-	9	-
Clostridium carboxidivorans P7	Bacteria	Firmicutes	Clostridia	p19	NC_014565.1	HM590571	19.899	27.5391	22	-	-	-	22	-
Clostridium chauvoei JF4335	Bacteria	Firmicutes	Clostridia	pcchauvoei	NC_021737.1	HG323816	5.566	25.2785	2	1	-	-	3	-
Clostridium kluyveri DSM 555 DSM555	Bacteria	Firmicutes	Clostridia	pCKL555A	NC_009466.1	CP000674	59.182	33.3716	75	-	-	-	75	-
Clostridium kluyveri NBRC 12016	Bacteria	Firmicutes	Clostridia	pCKL1	NC_011836.1	AP009050	59.182	33.3716	55	-	-	-	55	-
Clostridium pasteurianum BC1	Bacteria	Firmicutes	Clostridia	pCLOPA01	NC_021183.1	CP003262	53.393	28.9401	43	-	-	2	55	10
Clostridium perfringens CW92	Bacteria	Firmicutes	Clostridia	pCW3	NC_010937.1	DQ366035	47.263	27.5903	51	-	-	-	51	-
Clostridium perfringens EHE-NE18	Bacteria	Firmicutes	Clostridia	pJIR3844	NC_019257.1	JN689217	70.192	25.4459	83	-	-	-	83	-
Clostridium perfringens NCTC 8533B4D	Bacteria	Firmicutes	Clostridia	pCP8533etx	NC_011412.1	AB444205	64.753	25.8922	63	-	-	-	63	-
Clostridium perfringens PB-1	Bacteria	Firmicutes	Clostridia	pCPPB-1	NC_015712.1	AB604032	67.479	25.9607	71	-	-	-	71	-
Clostridium perfringens EHE-NE18	Bacteria	Firmicutes	Clostridia	pJIR3843	NC_019258.1	JN689218	3.183	23.437	5	-	-	-	5	-
Clostridium perfringens CP1	Bacteria	Firmicutes	Clostridia	pCpb2-CP1	NC_019687.1	JQ655732	65.875	26.7917	73	-	-	-	73	-
Clostridium perfringens F4969	Bacteria	Firmicutes	Clostridia	pCPF4969	NC_007772.1	AB236336	70.48	26.5678	60	-	-	-	62	2
Clostridium perfringens NE_10	Bacteria	Firmicutes	Clostridia	pNetB-NE10	NC_019688.1	JQ655731	81.693	25.6864	82	-	-	-	82	-
Clostridium perfringens EHE-NE18	Bacteria	Firmicutes	Clostridia	pJIR3537	NC_019259.1	JN689220	48.787	27.5934	52	-	-	-	52	-
Clostridium perfringens OS1	Bacteria	Firmicutes	Clostridia	pCP-OS1	NC_023917.1	AP013033	54.535	25.0628	55	-	-	-	55	-
Clostridium perfringens F5603	Bacteria	Firmicutes	Clostridia	pCPF5603	NC_007773.1	AB236337	75.268	25.5274	73	-	-	-	73	-
Clostridium perfringens	Bacteria	Firmicutes	Clostridia	pIP404	NC_001388.1	M32882	10.206	24.9853	10	-	-	-	10	-
Clostridium perfringens TS1	Bacteria	Firmicutes	Clostridia	pCP-TS1	NC_023918.1	AP013034	54.478	25.0285	55	-	-	-	55	-
Clostridium perfringens NCTC8533	Bacteria	Firmicutes	Clostridia	pCP8533S12	NC_019358.1	AB736082	11.891	25.1451	16	-	-	-	16	-
Clostridium perfringens F5603	Bacteria	Firmicutes	Clostridia	pBCNF5603	NC_006872.1	AB189671	36.695	25.4204	36	-	-	-	36	-
Clostridium perfringens F262	Bacteria	Firmicutes	Clostridia	pF262C	NZ_CM001480.1	CM001480	4.809	24.5165	6	-	-	-	6	-
Clostridium perfringens F262	Bacteria	Firmicutes	Clostridia	pF262A	NZ_CM001478.1	CM001478	48.604	27.2241	56	-	-	-	56	-
Clostridium perfringens F262	Bacteria	Firmicutes	Clostridia	pF262B	NZ_CM001479.1	CM001479	50.148	25.2971	45	-	-	-	45	-
Clostridium perfringens F262	Bacteria	Firmicutes	Clostridia	pF262D	NZ_CM001481.1	CM001481	9.136	24.9781	13	-	-	-	13	-
Clostridium perfringens SM101	Bacteria	Firmicutes	Clostridia	pSM101B	NC_008264.1	CP000314	12.206	25.8234	10	-	-	-	11	-
Clostridium perfringens SM101	Bacteria	Firmicutes	Clostridia	pSM101A	NC_008263.1	CP000313	12.397	26.6839	10	-	-	-	10	-
Clostridium perfringens str. 13	Bacteria	Firmicutes	Clostridia	pCP13	NC_003042.1	AP003515	54.31	25.4962	63	-	-	-	63	-
Clostridium saccharoperbutylacetonicum N1-4(HMT)	Bacteria	Firmicutes	Clostridia	Csp_135p	NC_020292.1	CP004122	136.188	29.3668	106	-	-	-	106	-
Clostridium sp. MCF-1	Bacteria	Firmicutes	Clostridia	indigenous plasmid	NC_001772.1	U59416	2.45	39.2653	1	-	-	-	1	-
Clostridium sp. MT351	Bacteria	Firmicutes	Clostridia	unnamed	NC_019324.1	JQ807734	3.202	43.3791	-	-	-	-	-	-
Clostridium tetani 12124569	Bacteria	Firmicutes	Clostridia	p12124569	NC_022778.1	HG530136	58.369	24.0402	74	-	-	-	74	-
Clostridium tetani E88	Bacteria	Firmicutes	Clostridia	pE88	NC_004565.1	AF528097	74.082	24.5282	59	-	-	-	61	-
Collimonas fungivorans Ter331	Bacteria	Proteobacteria	Betaproteobacteria	pTer331	NC_010332.1	EU315244	40.457	60.5952	44	-	-	-	44	-
Comamonadaceae bacterium H1	Bacteria	Proteobacteria	Betaproteobacteria	pSRH1	NZ_BAWN01000094.1	BAWN01000094	16.345	63.0652	21	-	-	-	21	-
Comamonas sp. 7D-2	Bacteria	Proteobacteria	Betaproteobacteria	pBHB	NC_021077.1	KC771559	119.225	63.5697	122	-	-	-	122	-
Comamonas testosteroni	Bacteria	Proteobacteria	Betaproteobacteria	pCNB	NC_010935.1	-	91.181	63.4408	92	-	-	-	92	-
Comamonas testosteroni I2	Bacteria	Proteobacteria	Betaproteobacteria	pI2	NC_016978.1	JF274989	84.204	64.7903	85	-	-	-	85	-
Comamonas testosteroni PtL5	Bacteria	Proteobacteria	Betaproteobacteria	pPT1	NC_002143.1	AF076997	15.398	56.1956	-	-	-	-	-	-
Comamonas testosteroni TB30	Bacteria	Proteobacteria	Betaproteobacteria	pTB30	NC_016968.1	JF274987	79.291	63.9303	76	-	-	-	76	-
Comamonas testosteroni CNB-1	Bacteria	Proteobacteria	Betaproteobacteria	pCNB	NC_010935.1	EF079106	91.181	63.4408	92	-	-	-	92	-
Commensalibacter sp. MX01	Bacteria	Proteobacteria	Alphaproteobacteria	pA	-	ATSX01000011.1	15.425	28.765	15	-	-	-	15	-
Commensalibacter sp. MX01	Bacteria	Proteobacteria	Alphaproteobacteria	pB	-	ATSX01000012.1	6.791	32.2338	7	-	-	-	7	-
Corynebacterium atypicum R2070	Bacteria	Actinobacteria	Actinobacteria	phiCATYP2070I	-	CP008945.1	48.068	58.1801	45	-	-	-	47	2
Corynebacterium aurimucosum ATCC 700975 DSM 44827	Bacteria	Actinobacteria	Actinobacteria	pET44827	NC_010813.1	FM164414	29.037	53.3182	20	-	-	-	28	4
Corynebacterium callunae DSM 20147	Bacteria	Actinobacteria	Actinobacteria	pCC2	NC_020553.1	CP004356	85.023	54.3771	83	-	-	-	83	-
Corynebacterium callunae DSM 20147	Bacteria	Actinobacteria	Actinobacteria	pCC1	NC_020523.1	CP004355	4.109	54.4171	5	-	-	-	5	-
Corynebacterium casei JCM 12072	Bacteria	Actinobacteria	Actinobacteria	pCASE1	NC_011030.1	AB444587	2.461	56.7655	3	-	-	-	3	-
Corynebacterium casei LMG S-19264	Bacteria	Actinobacteria	Actinobacteria	pCASE1	-	CP004351.1	2.461	56.7655	4	-	-	-	4	-
Corynebacterium casei LMG S-19264	Bacteria	Actinobacteria	Actinobacteria	pCASE2	-	CP004352.1	16.264	55.0787	16	-	-	-	16	-
Corynebacterium diphtheriae	Bacteria	Actinobacteria	Actinobacteria	pNGA2	NC_003239.1	AY061891	4.191	51.372	3	-	-	-	3	-
Corynebacterium diphtheriae S601	Bacteria	Actinobacteria	Actinobacteria	pNG2	NC_005001.1	AF492560	15.1	56.1258	15	-	-	-	15	-
Corynebacterium efficiens YS-314	Bacteria	Actinobacteria	Actinobacteria	pCE3	NC_004320.1	AP005226	48.672	56.4041	41	-	-	-	41	-
Corynebacterium efficiens YS-314	Bacteria	Actinobacteria	Actinobacteria	pCE2	NC_004319.1	AP005225	23.743	54.416	15	-	-	-	15	-
Corynebacterium falsenii DSM 44353 BL 8171	Bacteria	Actinobacteria	Actinobacteria	phiCFAL8171I	-	CP007157.1	42.009	61.7439	58	-	-	-	58	-
Corynebacterium glutamicum ATCC 13869	Bacteria	Actinobacteria	Actinobacteria	unknown	NC_002115.1	X03987	4.457	53.3767	-	-	-	-	-	-
Corynebacterium glutamicum LP-6	Bacteria	Actinobacteria	Actinobacteria	pTET3	NC_003227.1	AJ420072	27.856	54.8894	27	-	-	-	27	-
Corynebacterium glutamicum 1014	Bacteria	Actinobacteria	Actinobacteria	pXZ10145.1	NC_001791.1	U85507	4.885	59.6315	6	-	-	-	6	-
Corynebacterium glutamicum ATCC31830	Bacteria	Actinobacteria	Actinobacteria	R-plasmid pCG4	NC_004945.1	AF164956	29.371	52.0752	31	-	-	-	31	-
